ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,ActivityTypeDisplay,Subject
CNTID_1000,OPID_1000,ProdID_1000,2020-02-08,116,OnlinePurchase,£12.99 Brew @ Home Pods (24) - Mixed
CNTID_1000,OPID_1001,ProdID_1001,2020-02-14,197,OnlinePurchase,£71.40 Brew @ Home Pods (150) - Favourite Blends
CNTID_1000,OPID_1002,ProdID_1002,2020-02-22,189,OnlinePurchase,£8.99 Contoso Machine Cleaner
CNTID_1000,OPID_1003,ProdID_1003,2018-03-07,144,OnlinePurchase,Purchased a product online
98e79d76-a45a-e911-a970-000d3a39c2c9,OPID_1004,ProdID_1004,2017-08-08,90,OnlinePurchase,Purchased a product online
CNTID_1003,OPID_1005,ProdID_1005,2017-08-09,47,OnlinePurchase,Purchased a product online
CNTID_1004,OPID_1006,ProdID_1006,2018-07-22,209,OnlinePurchase,Purchased a product online
f4444de5-664e-e911-a9ac-000d3a2d57c3,OPID_1007,ProdID_1007,2017-12-29,77,OnlinePurchase,Purchased a product online
f4444de5-664e-e911-a9ac-000d3a2d57c3,OPID_1008,ProdID_1008,2018-08-07,90,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1009,ProdID_1009,2018-10-25,66,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1010,ProdID_1010,2019-01-13,245,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1011,ProdID_1011,2018-11-04,59,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1012,ProdID_1012,2019-01-12,247,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1013,ProdID_1013,2019-01-22,82,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1014,ProdID_1014,2017-03-31,204,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1015,ProdID_1015,2018-06-13,88,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1016,ProdID_1016,2018-07-26,54,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1017,ProdID_1017,2018-11-28,159,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1018,ProdID_1018,2018-12-17,83,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1019,ProdID_1019,2017-12-17,224,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1020,ProdID_1020,2018-08-13,213,OnlinePurchase,Purchased a product online
CNTID_1011,OPID_1021,ProdID_1021,2018-07-29,92,OnlinePurchase,Purchased a product online
CNTID_1012,OPID_1022,ProdID_1022,2017-06-14,246,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1023,ProdID_1023,2018-03-09,101,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1024,ProdID_1024,2018-07-11,61,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1025,ProdID_1025,2018-09-16,134,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1026,ProdID_1026,2018-10-15,87,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1027,ProdID_1027,2018-12-11,104,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1028,ProdID_1028,2017-01-20,186,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1029,ProdID_1029,2018-11-27,80,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1030,ProdID_1030,2019-01-17,200,OnlinePurchase,Purchased a product online
CNTID_1016,OPID_1031,ProdID_1031,2018-07-21,226,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1032,ProdID_1032,2018-02-26,216,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1033,ProdID_1033,2018-12-28,170,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1034,ProdID_1034,2019-01-03,96,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1035,ProdID_1035,2019-01-26,193,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1036,ProdID_1036,2017-05-09,202,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1037,ProdID_1037,2018-01-23,82,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1038,ProdID_1038,2018-05-23,180,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1039,ProdID_1039,2018-12-11,30,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1040,ProdID_1040,2019-01-29,125,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1041,ProdID_1041,2017-08-04,231,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1042,ProdID_1042,2018-09-08,68,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1043,ProdID_1043,2018-11-23,52,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1044,ProdID_1044,2017-01-03,172,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1045,ProdID_1045,2017-07-29,132,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1046,ProdID_1046,2018-12-28,183,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1047,ProdID_1047,2019-02-01,47,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1048,ProdID_1048,2017-04-22,33,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1049,ProdID_1049,2018-09-17,177,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1050,ProdID_1050,2018-11-26,240,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1051,ProdID_1051,2018-12-20,55,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1052,ProdID_1052,2018-12-27,59,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1053,ProdID_1053,2017-10-28,199,OnlinePurchase,Purchased a product online
